Psamples,Nsamples,AUC-back,ACC-back,std-back,stdACC-back,AUC-ext,ACC-ext,std-ext,stdACC-ext
200.0,200.0,0.8584621024131774,0.6629166674613952,0.028139430959111204,0.04437842008159821,0.8398484420776368,0.6389583396911621,0.020664463342286086,0.03728875682087868
225.0,225.0,0.8717766046524048,0.6716666698455811,0.027216794557438594,0.0420936499436126,0.8383284521102905,0.6149999952316284,0.019213313042696318,0.03025929451644288
250.0,250.0,0.8447547817230224,0.6545833301544189,0.029283284122010957,0.03927289952274155,0.8232425498962402,0.6220833325386047,0.016922716339753337,0.02826277620660066
275.0,275.0,0.8605967926979065,0.6716666650772095,0.017393733110515227,0.033608237678792535,0.8475397992134094,0.6456250023841857,0.017715246880111234,0.031092660007300554
300.0,300.0,0.8780693221092224,0.6833333325386047,0.02392192345168512,0.04350127856676637,0.8514404296875,0.6541666674613953,0.022622146368463596,0.036294269669521345
325.0,325.0,0.8684939360618591,0.6837499976158142,0.02616368889931752,0.04893661253243632,0.8440831017494201,0.6493749952316284,0.017479676340624774,0.030608695051604174
350.0,350.0,0.8790762448310852,0.6908333325386047,0.025367953897657898,0.04936400726399976,0.8414664626121521,0.6366666626930236,0.021384450933773416,0.031467297573642826
375.0,375.0,0.8688650059700013,0.6899999976158142,0.027146699471909605,0.035019834164543955,0.8442558431625367,0.6429166674613953,0.026401845508442066,0.039776941365940205
400.0,400.0,0.8772692513465882,0.6958333325386047,0.02446745480291331,0.04050462850664782,0.8441786050796509,0.6422916698455811,0.020859849049673477,0.03384118667606398
425.0,425.0,0.8930512022972107,0.7295833301544189,0.019719600004809684,0.03403939228405832,0.8512205290794372,0.6591666626930237,0.011819253101227764,0.02983170009206103
450.0,450.0,0.8772648978233337,0.6762500023841858,0.027682339988005192,0.047316895797940586,0.8385559511184693,0.6347916650772095,0.02252301460581825,0.03833899584874973
475.0,475.0,0.8888165426254272,0.7116666650772094,0.023842431959479337,0.03556585841345378,0.855577609539032,0.671041669845581,0.017818761166929528,0.029962363222309957
500.0,500.0,0.9068272423744201,0.7383333373069764,0.02280251826131481,0.03989134207960953,0.8695357728004456,0.6858333301544189,0.017646175825132233,0.036554039427278494
525.0,525.0,0.8944567275047303,0.7312500023841858,0.01910639534444524,0.034485307964811696,0.8520929169654846,0.6616666746139527,0.021285464164442408,0.03431118061186635
550.0,550.0,0.8829716658592224,0.7049999952316284,0.01826266212571293,0.04025957403580484,0.8512559700012207,0.6522916674613952,0.017295487250182397,0.02535682793998718
575.0,575.0,0.9109295535087586,0.7545833325386048,0.02674752215560612,0.04488410365740908,0.8661169052124024,0.6820833325386048,0.01629254871203585,0.033153160758665506
600.0,600.0,0.9060944628715515,0.7408333349227906,0.02040019156664172,0.04190763945128971,0.8598234987258911,0.6733333373069763,0.019661509035931758,0.031954559210047216
625.0,625.0,0.8947265625,0.7362499976158142,0.02026129296490882,0.04793659041319963,0.852990653514862,0.6635416674613953,0.021763703891248695,0.034579570174863204
650.0,650.0,0.9022366857528686,0.7375,0.0204834197743935,0.04759858973812506,0.8674055957794189,0.6860416722297669,0.012637191491071217,0.029701932365999453
